resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/7/18 14:54:45.00,EMPLOYEE,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017/7/18 14:54:48.00,SUPERVISOR,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017/7/24 7:15:48.00,DIRECTOR,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/7/24 7:37:24.00,EMPLOYEE,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/7/24 7:40:20.00,SUPERVISOR,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
SYSTEM,Request Payment,2017/7/27 9:27:17.00,UNDEFINED,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
SYSTEM,Payment Handled,2017/7/31 15:30:49.00,UNDEFINED,travel permit number 83334,UNKNOWN,organizational unit 65458,2681.301193,UNKNOWN,budget 475,UNKNOWN,project 503,request for payment 83335,organizational unit 65458,5042.841084,travel permit 83333,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/8/5 11:19:11.00,EMPLOYEE,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/8/5 11:19:13.00,ADMINISTRATION,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/8/10 9:34:48.00,SUPERVISOR,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
