group,instance,resource,activity,timestamp,responsible,department,case,channel
Group 1,task-9679,Resource13,Confirmation of receipt,2011/1/27 10:11:34,Resource13,General,5517,Desk
Group 4,task-9787,Resource10,T02 Check confirmation of receipt,2011/1/27 10:50:46,Resource13,General,5517,Desk
Group 3,task-9814,Resource10,T04 Determine confirmation of receipt,2011/1/27 10:51:00,Resource13,General,5517,Desk
EMPTY,task-9815,Resource13,T05 Print and send confirmation of receipt,2011/2/2 7:28:32,Resource13,General,5517,Desk
Group 1,task-9788,Resource13,T06 Determine necessity of stop advice,2011/2/2 7:28:50,Resource13,General,5517,Desk
Group 1,task-10514,Resource13,T10 Determine necessity to stop indication,2011/2/2 7:29:13,Resource13,General,5517,Desk
Group 1,task-10515,Resource13,T16 Report reasons to hold request,2011/2/2 7:34:01,Resource13,General,5517,Desk
EMPTY,task-10519,Resource13,T17 Check report Y to stop indication,2011/2/2 7:35:14,Resource13,General,5517,Desk
Group 3,task-10521,Resource13,T19 Determine report Y to stop indication,2011/2/2 7:35:56,Resource13,General,5517,Desk
Group 2,task-10522,Resource13,T20 Print report Y to stop indication,2011/2/2 7:36:14,Resource13,General,5517,Desk
EMPTY,task-31397,Resource04,Confirmation of receipt,2011/7/27 8:09:37,Resource04,General,8457,Internet
Group 4,task-33699,Resource04,T02 Check confirmation of receipt,2011/7/27 8:09:55,Resource04,General,8457,Internet
Group 3,task-33701,Resource04,T04 Determine confirmation of receipt,2011/7/27 8:10:12,Resource04,General,8457,Internet
Group 2,task-33702,Resource04,T05 Print and send confirmation of receipt,2011/7/27 8:10:29,Resource04,General,8457,Internet
Group 1,task-33700,Resource04,T06 Determine necessity of stop advice,2011/7/27 8:10:42,Resource04,General,8457,Internet
Group 1,task-33703,Resource04,T10 Determine necessity to stop indication,2011/7/27 8:11:00,Resource04,General,8457,Internet
EMPTY,task-20668,Resource12,Confirmation of receipt,2011/5/2 10:46:29,Resource12,General,7016,Internet
Group 4,task-23112,Resource12,T02 Check confirmation of receipt,2011/5/2 11:34:33,Resource12,General,7016,Internet
Group 3,task-23145,Resource12,T04 Determine confirmation of receipt,2011/5/2 11:34:59,Resource12,General,7016,Internet
Group 2,task-23146,Resource12,T05 Print and send confirmation of receipt,2011/5/2 11:37:26,Resource12,General,7016,Internet
Group 1,task-23113,Resource12,T06 Determine necessity of stop advice,2011/5/2 11:45:24,Resource12,General,7016,Internet
